theta,delta,k,K,Rec,F2dom,M2dom,F2epidom,M2epidom,fem_inv,masc_into_gyn
0.7000000000000001,1,0.4,0.4,0.1,0,0,1,0,-0.8000000000000002,-0.12727272727272737
0.8,1,0.4,0.4,0.1,0,0,1,0,-1,-0.23333333333333342
0.9,1,0.4,0.4,0.1,0,0,1,0,-1.2000000000000002,-0.32307692307692315
1,1,0.4,0.4,0.1,0,0,1,0,-1.4,-0.4
0.9,0.9,0.5,0.4,0.1,0,0,1,0,-1.12,-0.17049180327868865
1,0.9,0.5,0.4,0.1,0,0,1,0,-1.3,-0.24615384615384622
0.7000000000000001,1,0.5,0.4,0.1,0,0,1,0,-0.9000000000000001,-0.1500000000000001
0.8,1,0.5,0.4,0.1,0,0,1,0,-1.1,-0.24615384615384622
0.9,1,0.5,0.4,0.1,0,0,1,0,-1.3,-0.3285714285714286
1,1,0.5,0.4,0.1,0,0,1,0,-1.5,-0.4
0.8,0.9,0.6,0.4,0.1,0,0,1,0,-1.04,-0.10967741935483888
0.9,0.9,0.6,0.4,0.1,0,0,1,0,-1.2200000000000002,-0.18787878787878798
1,0.9,0.6,0.4,0.1,0,0,1,0,-1.4,-0.25714285714285723
0.7000000000000001,1,0.6,0.4,0.1,0,0,1,0,-1,-0.16923076923076932
0.8,1,0.6,0.4,0.1,0,0,1,0,-1.2000000000000002,-0.25714285714285723
0.9,1,0.6,0.4,0.1,0,0,1,0,-1.4,-0.33333333333333337
1,1,0.6,0.4,0.1,0,0,1,0,-1.6,-0.4
0.8,0.9,0.7000000000000001,0.4,0.1,0,0,1,0,-1.1400000000000001,-0.13134328358208974
0.9,0.9,0.7000000000000001,0.4,0.1,0,0,1,0,-1.3200000000000003,-0.2028169014084508
1,0.9,0.7000000000000001,0.4,0.1,0,0,1,0,-1.5,-0.2666666666666667
0.7000000000000001,1,0.7000000000000001,0.4,0.1,0,0,1,0,-1.1,-0.1857142857142858
0.8,1,0.7000000000000001,0.4,0.1,0,0,1,0,-1.3000000000000003,-0.2666666666666667
0.9,1,0.7000000000000001,0.4,0.1,0,0,1,0,-1.5,-0.3375
1,1,0.7000000000000001,0.4,0.1,0,0,1,0,-1.7000000000000002,-0.4
1,0.8,0.8,0.4,0.1,0,0,1,0,-1.4000000000000001,-0.11428571428571438
0.8,0.9,0.8,0.4,0.1,0,0,1,0,-1.2400000000000002,-0.15000000000000013
0.9,0.9,0.8,0.4,0.1,0,0,1,0,-1.4200000000000002,-0.21578947368421061
1,0.9,0.8,0.4,0.1,0,0,1,0,-1.6,-0.275
0.6,1,0.8,0.4,0.1,0,0,1,0,-1,-0.11428571428571427
0.7000000000000001,1,0.8,0.4,0.1,0,0,1,0,-1.2000000000000002,-0.20000000000000007
0.8,1,0.8,0.4,0.1,0,0,1,0,-1.4000000000000001,-0.275
0.9,1,0.8,0.4,0.1,0,0,1,0,-1.6,-0.34117647058823536
1,1,0.8,0.4,0.1,0,0,1,0,-1.8,-0.4
1,0.8,0.9,0.4,0.1,0,0,1,0,-1.5,-0.13333333333333341
0.8,0.9,0.9,0.4,0.1,0,0,1,0,-1.3400000000000003,-0.16623376623376634
0.9,0.9,0.9,0.4,0.1,0,0,1,0,-1.52,-0.22716049382716058
1,0.9,0.9,0.4,0.1,0,0,1,0,-1.7000000000000002,-0.28235294117647064
0.6,1,0.9,0.4,0.1,0,0,1,0,-1.1,-0.13333333333333336
0.7000000000000001,1,0.9,0.4,0.1,0,0,1,0,-1.3000000000000003,-0.21250000000000008
0.8,1,0.9,0.4,0.1,0,0,1,0,-1.5,-0.28235294117647064
0.9,1,0.9,0.4,0.1,0,0,1,0,-1.7000000000000002,-0.3444444444444445
1,1,0.9,0.4,0.1,0,0,1,0,-1.9,-0.4
0.9,0.8,1,0.4,0.1,0,0,1,0,-1.4400000000000002,-0.10129870129870144
1,0.8,1,0.4,0.1,0,0,1,0,-1.6,-0.15000000000000008
0.7000000000000001,0.9,1,0.4,0.1,0,0,1,0,-1.2600000000000002,-0.11794871794871803
0.8,0.9,1,0.4,0.1,0,0,1,0,-1.4400000000000002,-0.18048780487804889
0.9,0.9,1,0.4,0.1,0,0,1,0,-1.62,-0.2372093023255815
1,0.9,1,0.4,0.1,0,0,1,0,-1.8,-0.288888888888889
0.6,1,1,0.4,0.1,0,0,1,0,-1.2,-0.15000000000000002
0.7000000000000001,1,1,0.4,0.1,0,0,1,0,-1.4000000000000001,-0.22352941176470595
0.8,1,1,0.4,0.1,0,0,1,0,-1.6,-0.288888888888889
0.9,1,1,0.4,0.1,0,0,1,0,-1.8,-0.3473684210526316
1,1,1,0.4,0.1,0,0,1,0,-2,-0.4
